customer_id,full_name,email,phone,city,state,country,signup_date,status
71,Keerthi Pandian,keerthi.pandian71@gmail.com,9806032141,Pune,Maharashtra,India,2025-03-08,Active
72,Ramya Pandian,ramya.pandian72@gmail.com,9405132275,Pune,Maharashtra,India,2023-10-24,Active
73,Sneha Rajan,sneha.rajan73@gmail.com,9887967718,Mumbai,Maharashtra,India,2023-10-13,Inactive
74,Sneha Menon,sneha.menon74@gmail.com,9996507414,Madurai,Tamil Nadu,India,2026-04-11,Active
75,Kavya Vel,kavya.vel75@gmail.com,9133458365,Madurai,Tamil Nadu,India,2023-09-30,Active
76,Suresh Elango,suresh.elango76@gmail.com,9997456176,Hyderabad,Telangana,India,2026-02-17,Active
77,Karthik Nair,karthik.nair77@gmail.com,9830857592,Trichy,Tamil Nadu,India,2025-09-29,Active
78,Sathish Vel,sathish.vel78@gmail.com,9903443818,Mumbai,Maharashtra,India,2026-01-01,Active
79,Keerthi Vel,keerthi.vel79@gmail.com,9900719241,Hyderabad,Telangana,India,2024-05-31,Inactive
80,Deepa Sundaram,deepa.sundaram80@gmail.com,9883117532,Trichy,Tamil Nadu,India,2024-04-17,Active
81,Sathish Iyer,sathish.iyer81@gmail.com,9510771188,Chennai,Tamil Nadu,India,2025-09-08,Inactive
82,Swathi Raj,swathi.raj82@gmail.com,9762470807,Trichy,Tamil Nadu,India,2023-06-08,Active
83,Selvam Natarajan,selvam.natarajan83@gmail.com,9799579688,Salem,Tamil Nadu,India,2026-03-08,Active
84,Pooja Raj,pooja.raj84@gmail.com,9621621687,Salem,Tamil Nadu,India,2023-07-23,Active
85,Ramya Chandran,ramya.chandran85@gmail.com,9861144359,Mumbai,Maharashtra,India,2024-08-07,Active
86,Sathish Murugan,sathish.murugan86@gmail.com,9689566415,Trichy,Tamil Nadu,India,2024-09-30,Suspended
87,Pooja Kumar,pooja.kumar87@gmail.com,9410943694,Hyderabad,Telangana,India,2023-06-06,Inactive
88,Ganesh Natarajan,ganesh.natarajan88@gmail.com,9515375252,Trichy,Tamil Nadu,India,2024-03-07,Active
89,Praveen Pandian,praveen.pandian89@gmail.com,9902607174,Mumbai,Maharashtra,India,2024-06-20,Suspended
90,Bala Pillai,bala.pillai90@gmail.com,9980701311,Mumbai,Maharashtra,India,2024-07-26,Inactive
91,Vijay Sundaram,vijay.sundaram91@gmail.com,9634603117,Hyderabad,Telangana,India,2025-03-18,Active
92,Dhanush Iyer,dhanush.iyer92@gmail.com,9831849666,Hyderabad,Telangana,India,2025-04-10,Active
93,Mani Rajan,mani.rajan93@gmail.com,9469324394,Bengaluru,Karnataka,India,2024-10-09,Active
94,Selvam Kumar,selvam.kumar94@gmail.com,9448480313,Tirunelveli,Tamil Nadu,India,2025-03-26,Active
95,Lakshmi Kumar,lakshmi.kumar95@gmail.com,9894469979,Salem,Tamil Nadu,India,2024-06-02,Active
96,Surya Elango,surya.elango96@gmail.com,9732623619,Chennai,Tamil Nadu,India,2025-01-08,Inactive
97,Shalini Raj,shalini.raj97@gmail.com,9401332446,Chennai,Tamil Nadu,India,2023-04-16,Inactive
98,Swathi Pandian,swathi.pandian98@gmail.com,9367710374,Salem,Tamil Nadu,India,2025-06-12,Active
99,Lakshmi Ganesan,lakshmi.ganesan99@gmail.com,9943040526,Bengaluru,Karnataka,India,2023-03-01,Inactive
100,Surya Nair,surya.nair100@gmail.com,9689729236,Trichy,Tamil Nadu,India,2023-06-15,Active
